run,state,unit,max_absolute,rms,final,max_relative_excluding_initial
atol-0.001,V_A,litre,0.0004303397229938888,0.00010339536067305083,2.28420872308822,0.00018675936769710694
atol-0.001,P_A,mmHg,0.0005039546846319354,0.00012109324068260743,757.2972916145752,6.654827115294862e-07
atol-0.001,f_o,dimensionless,7.722408259802638e-07,1.7260859057215464e-07,0.20983853648959042,3.7789007768899735e-06
atol-0.001,f_c,dimensionless,5.476123778958356e-07,1.229661152964338e-07,0.0001351207672365163,0.0002676288555635585
atol-0.001,p_o,mmHg,0.0007397073497230622,0.00012025571683516904,149.0462421227119,7.464776026356521e-06
atol-0.001,p_c,mmHg,0.00028513052912337855,5.5346478939683765e-05,0.9010928559232263,5.409588329157914e-05
atol-0.001,z,source-labelled dimensionless; unresolved,8.688166704476363e-08,2.018472164452376e-08,0.0012196803737907038,2.1023351439534763e-05
atol-1e-06,V_A,litre,3.848768757030996e-07,1.096178201537005e-07,2.284388413280038,1.585718130421192e-07
atol-1e-06,P_A,mmHg,6.816903805884067e-07,1.400000149569282e-07,757.2974945273256,9.000854993458395e-10
atol-1e-06,f_o,dimensionless,1.0649000570239764e-09,2.445315130516342e-10,0.2098385433848326,6.0310329722331285e-09
atol-1e-06,f_c,dimensionless,7.952581544679038e-10,1.7535260455462664e-10,0.00013511551877759827,3.039678272003653e-07
atol-1e-06,p_o,mmHg,6.840938482355341e-07,1.687275862892408e-07,149.04629087973225,7.666916013045546e-09
atol-1e-06,p_c,mmHg,3.6386871204996396e-07,6.853947568711039e-08,0.901090349773407,5.737498578736537e-08
atol-1e-06,z,source-labelled dimensionless; unresolved,3.5003288201967964e-10,4.077459211715105e-11,0.0012196803552499938,5.8720320777711356e-08
atol-1e-10,V_A,litre,1.5813232501216135e-08,3.484496277319792e-09,2.284388431229764,6.3572842271824775e-09
atol-1e-10,P_A,mmHg,3.233753886888735e-08,5.939023900464654e-09,757.2974945474916,4.26970297173765e-11
atol-1e-10,f_o,dimensionless,9.077355533904097e-11,1.78918970645779e-11,0.2098385433859617,5.875675261894932e-10
atol-1e-10,f_c,dimensionless,6.4736084548489e-11,1.2854931851264715e-11,0.0001351155179189379,1.8345095555281657e-08
atol-1e-10,p_o,mmHg,2.7813720748781634e-07,2.484351994088132e-08,149.04629088409607,2.719034938000548e-09
atol-1e-10,p_c,mmHg,9.127199973590905e-08,6.695668282030379e-09,0.9010903499430639,2.455301675322905e-09
atol-1e-10,z,source-labelled dimensionless; unresolved,1.5088649080174932e-11,2.199221532303798e-12,0.0012196803557478137,4.8676489185445215e-09
atol-1e-13,V_A,litre,1.0266755445798026e-08,2.075154187522644e-09,2.2843884312866396,4.223140082355762e-09
atol-1e-13,P_A,mmHg,2.0362904251669534e-08,3.59369562972561e-09,757.2974945475777,2.6886510466587967e-11
atol-1e-13,f_o,dimensionless,9.633446818035907e-11,1.2902325818915175e-11,0.2098385433860612,6.377061407939231e-10
atol-1e-13,f_c,dimensionless,6.876033076252952e-11,9.247201389997296e-12,0.00013511551784802016,4.296956786485569e-09
atol-1e-13,p_o,mmHg,2.524563882388975e-07,2.4583733663265944e-08,149.0462908841861,2.4679824254475626e-09
